tag_id,subloc_sequence,loc_code,detection_counts,dwell_times
989.00103885854,"[1.0, 0.0, nan, 0.0, nan, 0.0]","['202', '201', '232', '231', '232', '231']","[3, 3, 4, 2, 4, 4]","[0.0, 0.0, 52.35, 0.0, 3349.69, 4.23]"
989.001038858581,"[1.0, 0.0]","['22', '201']","[24, 5]","[44635.13, 0.0]"
989.001038858585,"[1.0, 1.0]","['21', '202']","[4, 72]","[0.0, 165956.72]"
989.001038858603,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038858628,"[1.0, 1.0, 0.0]","['21', '202', '201']","[4, 19, 3]","[0.0, 2497989.4, 0.0]"
989.001038858639,[1.0],['202'],[1],[0.0]
989.001038858647,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[3, 3, 3, 4, 1]","[0.0, 0.0, 0.0, 155.58, 0.0]"
989.001038858745,[1.0],['202'],[1],[0.0]
989.001038858748,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[7, 3, 3, 2, 2]","[17.65, 0.0, 0.0, 0.0, 0.0]"
989.001038858822,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038858865,"[1.0, 0.0]","['21', '201']","[3, 4]","[0.0, 0.0]"
989.001038858907,"[1.0, 1.0, 0.0]","['21', '202', '201']","[3, 12, 3]","[0.0, 409.54, 0.0]"
989.001038858911,"[1.0, 0.0]","['22', '201']","[5, 2]","[0.48, 0.0]"
989.00103885892,[1.0],['22'],[24],[40983.0]
989.001038858937,"[1.0, 0.0, nan, 0.0]","['22', '201', '232', '231']","[24, 1, 2, 8]","[1104.0, 0.0, 0.0, 174.17]"
989.00103885894,"[0.0, nan, 0.0]","['201', '232', '231']","[2, 2, 2]","[0.0, 0.0, 0.0]"
989.001038858942,"[1.0, 1.0, 0.0]","['21', '202', '201']","[2, 3, 3]","[0.0, 0.0, 0.0]"
989.001038858967,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[1, 1, 1, 2]","[0.0, 0.0, 0.0, 564.36]"
989.00103885899,"[1.0, nan, 0.0]","['202', '232', '231']","[3, 3, 4]","[0.0, 305.25, 1522.06]"
989.001038858992,"[1.0, 1.0, 0.0]","['22', '202', '201']","[32, 24, 8]","[87321.26, 7326.85, 0.0]"
989.001038858994,[1.0],['21'],[3],[49032.46]
989.001038859007,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[6, 2, 2, 1, 1]","[5.22, 0.0, 0.0, 0.0, 0.0]"
989.001038859015,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[2, 1, 1, 1, 2]","[49.71, 0.0, 0.0, 0.0, 61.71]"
989.001038859025,[1.0],['21'],[1],[0.0]
989.001038859069,"[1.0, 1.0, 0.0]","['22', '202', '201']","[5, 3, 3]","[0.34, 0.0, 0.0]"
989.001038859076,"[1.0, nan, 0.0]","['202', '232', '231']","[8, 2, 2]","[0.0, 0.0, 0.0]"
989.0010388591,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[1, 4, 4, 8, 2]","[0.0, 0.0, 0.0, 201.88, 0.0]"
989.001038859108,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[4, 88, 8, 2, 2]","[0.0, 34275.44, 0.0, 0.0, 0.0]"
989.00103885918,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 5, 2]","[0.0, 0.0, 259.47, 174.05]"
989.001038859184,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[3, 6, 6, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.00103885919,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[3, 3, 3, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.001038859241,"[1.0, 1.0]","['202', '233']","[2, 1]","[0.0, 0.0]"
989.001038859279,[0.0],['201'],[2],[0.0]
989.00103885928,[0.0],['201'],[1],[0.0]
989.001038859297,[0.0],['201'],[1],[0.0]
989.001038859315,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 2, 6]","[0.0, 0.0, 0.0, 1006.23]"
989.001038859341,[1.0],['7A'],[11],[0.0]
989.001038859351,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 12, 4]","[0.0, 0.0, 119.76, 0.0]"
