tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001034171325,"[1.0, 1.0, 0.01, 1.0]","[16, 64, 162, 14]","[79958.78, 501.07, 1496286.71, 68.6]",5102.51634591049,0.0590569021517418
989.00103872692,[1.0],[16],[81317.91],5082.369375,0.0588237196180556
989.001038724731,"[1.0, 0.01]","[6, 3]","[30489.13, 0.01]",5081.5217,0.0588139085648148
989.001042510544,"[1.0, 0.01, 1.0]","[2, 4, 1]","[10145.48, 0.01, 0.01]",5072.750025,0.0587123845486111
989.001039401981,"[1.0, 0.01]","[18, 27]","[90107.57, 182.33]",5006.04364074074,0.0579403199159808
989.001042809463,"[0.01, 1.0, 0.01]","[2, 2, 4]","[14400.46, 9584.87, 50158.18]",4989.83275,0.0577526938657407
989.00104204143,"[0.01, 1.0, 0.01, 1.0, 0.01]","[2, 2, 4, 4, 4]","[469.12, 0.01, 5467.79, 19843.28, 193.1]",4977.322825,0.0576079030671296
989.001038866612,"[0.01, 1.0, 1.0, 0.01]","[1, 9, 7, 7]","[0.01, 44688.31, 0.01, 0.01]",4965.36932063492,0.0574695523221634
989.001039393122,"[1.0, 0.01]","[12, 6]","[59526.98, 0.01]",4960.58168333333,0.0574141398533951
989.001039713848,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[9, 81, 18, 45, 18, 7, 33]","[0.01, 110251.38, 667.51, 154538.81, 23507.99, 0.01, 374116.57]",4922.12485651756,0.0569690376911754
989.001040921099,"[1.0, 0.01]","[1, 7]","[0.01, 3434365.25]",4906.24607142857,0.0567852554563492
989.001041916781,"[1.0, 1.0]","[70, 2]","[343182.0, 0.01]",4902.605,0.0567431134259259
989.001042042768,"[1.0, 1.0, 0.01]","[2894, 1, 1]","[14151043.48, 0.01, 0.01]",4889.79706613684,0.0565948734506578
989.001045734846,"[0.01, 1.0, 0.01, 1.0]","[20, 2, 4, 2]","[9612358.67, 0.01, 31876.19, 0.01]",4885.87981,0.056549534837963
989.001042043132,[1.0],[2],[9679.74],4839.87,0.0560170138888889
989.001039721252,"[1.0, 1.0]","[1, 6]","[0.01, 28993.28]",4832.22333333333,0.0559285108024691
989.001038744237,"[1.0, 0.01]","[104, 4]","[496860.87, 0.01]",4777.50839038462,0.0552952359998219
989.001045157355,[1.0],[2],[9547.1],4773.55,0.0552494212962963
989.001040918877,"[0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 1.0, 0.01]","[3, 3, 6, 6, 6, 9, 9, 3]","[0.01, 0.01, 197.76, 288.74, 358.79, 3520.64, 42399.07, 0.01]",4763.97391666667,0.0551385869984568
989.001039714012,"[0.01, 1.0, 0.01, 1.0, 0.01]","[40, 20, 10, 10, 19]","[1227.85, 92251.56, 0.01, 0.01, 286357.87]",4763.60064092105,0.055134266677327
989.00104091938,"[1.0, 0.01]","[9, 3]","[42851.75, 0.01]",4761.30558888889,0.0551077035751029
989.001042510049,"[1.0, 1.0, 0.01, 1.0]","[4, 32, 6, 36]","[0.01, 134103.15, 0.01, 19841.07]",4741.8667875,0.0548827174479167
