tag_id,loc_code,start_date,end_date,dwell_time,number_of_detections
989.001038723924,3B,2021-05-05,2021-05-05,0 days 00:00:02.760000,2
989.001038723924,3A,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038727227,3B,2021-05-05,2021-05-05,0 days 00:00:00.080000,2
989.001038724143,3A,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038870360,84,2021-05-05,2021-05-05,0 days 00:00:00,3
989.001038870360,83,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038870360,84,2021-05-05,2021-05-05,0 days 04:49:34.840000,48
989.001038870360,83,2021-05-05,2021-05-05,0 days 00:02:04.110000,2
989.001038724982,3A,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038724982,3B,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038728477,3A,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038728477,3B,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038851011,6D,2021-05-06,2021-05-06,0 days 00:10:01,3
989.001038726392,3B,2021-05-06,2021-05-06,0 days 09:10:48,3
989.001038849771,6D,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038853283,6D,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038851440,6D,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038852048,6C,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038851704,6C,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038851980,6C,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038849771,6C,2021-05-06,2021-05-06,0 days 00:00:00,1
989.001038726973,3B,2021-05-07,2021-05-07,0 days 00:00:00,1
989.001038726973,3A,2021-05-07,2021-05-07,0 days 00:00:00,1
989.001038725675,3B,2021-05-08,2021-05-08,0 days 00:00:00,1
989.001038726006,3B,2021-05-08,2021-05-08,0 days 00:00:04,2
989.001034175935,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172632,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034171397,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172207,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172594,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034175183,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034171744,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172382,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034173606,9C,2021-05-10,2021-05-10,0 days 00:10:56,3
989.001034175698,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034174164,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172801,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034172129,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034175112,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034175298,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034174829,9C,2021-05-10,2021-05-11,0 days 00:46:41,6
989.001034173271,9D,2021-05-10,2021-05-10,0 days 00:14:11,2
989.001034176199,9D,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034174556,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034173003,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034176320,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034173512,9C,2021-05-10,2021-05-10,0 days 00:00:00,1
989.001034175222,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172556,9C,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173678,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034175149,9C,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034171849,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034171886,9D,2021-05-11,2021-05-11,0 days 00:40:29,4
989.001034175287,9D,2021-05-11,2021-05-11,0 days 00:29:44,7
989.001034173091,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034176053,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034175175,9D,2021-05-11,2021-05-11,0 days 00:07:34,3
989.001034173160,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172133,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172594,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034174482,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173114,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034171744,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173606,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034174829,9D,2021-05-11,2021-05-11,0 days 00:47:17,6
989.001034173096,9C,2021-05-11,2021-05-11,0 days 00:27:07,4
989.001038727623,3B,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173003,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034176320,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173788,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172340,9D,2021-05-11,2021-05-11,0 days 00:14:16,3
989.001034173512,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172556,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034175149,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172324,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034175691,9D,2021-05-11,2021-05-11,0 days 00:06:49,2
989.001038727623,3A,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172098,9C,2021-05-11,2021-05-11,0 days 00:43:06,5
989.001034172529,9C,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034173096,9D,2021-05-11,2021-05-11,0 days 00:27:40,6
989.001034172098,9D,2021-05-11,2021-05-11,0 days 00:24:11,7
989.001034174666,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034172529,9D,2021-05-11,2021-05-11,0 days 00:00:00,1
989.001034175145,9C,2021-05-11,2021-05-11,0 days 00:26:43,3
989.001034175145,9D,2021-05-11,2021-05-11,0 days 00:34:44,4
989.001038727217,3B,2021-05-13,2021-05-13,0 days 00:00:00,1
989.001038727217,3A,2021-05-13,2021-05-13,0 days 00:00:00,1
989.001038869465,84,2021-05-14,2021-05-14,0 days 02:21:44.910000,18
989.001038869465,83,2021-05-14,2021-05-14,0 days 00:00:00,1
989.001038869465,84,2021-05-14,2021-05-14,0 days 04:30:48.970000,33
989.001034174119,9C,2021-05-14,2021-05-14,0 days 00:00:00,1
989.001034174119,9D,2021-05-14,2021-05-14,0 days 00:00:00,1
989.001038869450,83,2021-05-15,2021-10-17,155 days 08:17:40.730000,10
989.001038869944,83,2021-05-15,2022-12-09,572 days 10:11:30.480000,3
989.001038870859,84,2021-05-16,2021-05-16,0 days 00:00:00,3
989.001038870859,83,2021-05-16,2022-11-06,539 days 14:53:46.530000,3
989.001034175253,9C,2021-05-18,2021-05-18,0 days 00:00:00,1
989.001034176379,9C,2021-05-18,2021-05-18,0 days 00:00:00,1
989.001034171775,9C,2021-05-18,2021-05-18,0 days 00:00:00,1
989.001038861850,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862932,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859483,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859483,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860631,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864054,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863375,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862339,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863375,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862339,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864054,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863440,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862660,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863440,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860360,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860360,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864256,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864256,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862198,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862920,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862920,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860640,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864130,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860640,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864130,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862943,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862943,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861710,7D,2021-05-21,2021-05-21,0 days 00:02:25,3
989.001038860233,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860233,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863067,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863067,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860973,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863596,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863596,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860973,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861710,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860568,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861112,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864210,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861112,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860568,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864210,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859385,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859385,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861400,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861400,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862633,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859662,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862633,7C,2021-05-21,2021-05-21,0 days 00:01:57,2
989.001038859662,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861514,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859923,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861514,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862191,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859923,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860287,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860287,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861472,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861472,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861562,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862788,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862788,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861562,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859930,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859930,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863536,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861432,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861745,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861745,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861002,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860108,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860108,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862828,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862828,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860123,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860123,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863089,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863089,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860035,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860035,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860268,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860268,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864148,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864148,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860375,7D,2021-05-21,2021-05-21,0 days 01:10:40,33
989.001038860502,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862144,7D,2021-05-21,2021-05-21,0 days 00:03:32,2
989.001038860502,7C,2021-05-21,2021-05-21,0 days 00:17:55,2
989.001038862144,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859432,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860199,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861584,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861584,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861649,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861680,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859724,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864274,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861079,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864040,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859420,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859420,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860684,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860684,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860639,7D,2021-05-21,2021-05-21,0 days 00:00:39,2
989.001038862074,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860147,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860375,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863857,7D,2021-05-21,2021-05-21,0 days 00:29:12,2
989.001038862600,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862600,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863459,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860370,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859771,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859518,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862758,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860639,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859518,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864040,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860322,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860322,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862549,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861177,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861930,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861880,7D,2021-05-21,2021-05-21,0 days 00:13:07,13
989.001038861930,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861391,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859653,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860147,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859482,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864102,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862066,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860334,7D,2021-05-21,2021-05-21,0 days 00:00:06,2
989.001038859482,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861415,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038864102,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862066,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861391,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860334,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038859910,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863051,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862216,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860373,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862192,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861911,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863051,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860814,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861657,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861911,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038860071,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861052,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038861657,7C,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038862589,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
989.001038863435,7D,2021-05-21,2021-05-21,0 days 00:00:00,1
